"T","Po","Pa","U","Ff","N","Nh","VV","Td","tR","RRR"
"12.8","565.7","1","93","2","0.75","0.5","18","11.7","24","0"
"18.2","564.8","-0.5","57","7","0.6","0.6","18","9.5","6","0"
"12","565.9","-0.4","91","1","0.75","0.75","12","10.6","6","1"
"12","565.7","0.9","88","3","0.75","0.25","20","10.1","24","0"
"12.5","565.3","0.7","85","4","1","0.4","18","10","24","1"
"12","565.7","-0.6","82","2","1","0.75","15","9","6","0"
"14.4","565.1","1.1","73","1","1","0.1","18","9.5","6","1"
"17.2","564","-1.5","64","4","0.95","0.4","18","10.3","3","1"
"12.3","565.3","0.6","92","2","0.95","0.25","15","11","24","0"
"12.9","566.8","0.6","83","3","0.6","0.25","15","10.1","24","0"
"13.7","566.4","0.9","77","3","0.75","0.5","15","9.7","24","1"
"18.6","565.9","-0.9","57","7","0.75","0.5","18","9.8","6","1"
"11.5","566.7","0.9","95","3","1","0.6","8","10.7","24","1"
"11.2","565.8","-0.5","95","2","1","0.25","16","10.4","3","1"
"12.6","566.1","0.8","80","2","0.75","0.25","15","9.2","24","1"
"12.6","567","1.3","93","1","1","0.25","10","11.5","3","1"
"17.6","565.5","-1.2","62","6","0.95","0.6","15","10.2","6","1"
"13.5","566.3","1.1","93","3","1","0.5","15","12.3","24","1"
"12.7","565.2","-0.5","92","2","0.95","0.25","15","11.4","3","0"
"13.2","565.7","-0.5","93","1","1","0.4","10","12.1","6","1"
"14.4","566.2","0.7","79","1","0.6","0.4","15","10.8","3","0"
"15.3","565.5","1.5","81","2","1","0.25","16","12.1","6","0"
"19.2","565.2","-1.1","54","7","0.75","0.5","18","9.7","6","1"
"17.1","566.3","0","64","3","0.95","0.25","15","10.2","3","1"
"11.9","566.3","0.8","91","2","0.75","0.25","17","10.5","24","0"
"18.3","563.8","-1.4","67","5","0.75","0.5","15","12.1","3","0"
"12","566.1","1.2","96","2","1","0.4","12","11.4","24","1"
"12.3","565.2","1.4","95","1","0.6","0.4","10","11.5","6","1"
"10.9","566.1","0.6","99","2","0.95","0.95","3","10.7","24","0"
"16.6","566.7","0.3","71","2","0.75","0.6","16","11.3","3","1"
"12.4","566.4","0.9","92","1","0.95","0.6","9","11.1","24","1"
"12.7","566.4","-0.6","91","2","0.95","0.4","18","11.3","6","1"
"13.5","567","1.1","92","2","0.95","0.5","18","12.2","3","1"
"17.6","565.5","-1.3","70","7","0.95","0.6","15","12.1","6","0"
"15.5","566.8","0.5","78","3","0.75","0.4","15","11.6","3","1"
"12.1","566.3","1","94","1","0.95","0.4","12","11.2","24","1"
"13","565.1","0.5","84","2","0.4","0.25","20","10.4","6","0"
"16.7","564.6","-1.8","71","2","0.95","0.25","20","11.4","3","0"
"12.9","565.7","1.1","94","3","0.75","0.75","16","12","24","1"
"12.9","565.4","1.1","98","2","0.6","0.25","3","12.6","3","1"
"16.2","563.1","-0.9","79","2","0.75","0.75","15","12.6","3","1"
"12.6","564.8","0.1","94","2","0.95","0.1","15","11.7","24","1"
"14","564.9","1.1","92","1","0.75","0.4","10","12.7","3","0"
"12.4","565.7","-0.4","96","1","0.95","0.25","10","11.8","6","1"
"14","566.1","1.1","91","2","1","0.25","10","12.6","3","0"
"15.7","564","-0.8","85","3","0.95","0.5","12","13.2","3","1"
"12.6","565.5","0.3","88","3","1","0.5","15","10.7","24","1"
"12.8","565.5","-0.6","96","1","1","0.5","9","12.2","6","1"
"12.9","565.7","0","94","1","1","0.5","15","12","6","1"
"12.2","565.7","0.4","93","3","0.6","0.25","18","11.1","24","1"
"18.6","566.1","-1.7","61","2","0.95","0.25","15","11","6","1"
"11.6","566.7","0.8","98","2","1","0.5","10","11.3","24","1"
"12.9","565.7","1.1","94","1","1","0.5","15","12","6","1"
"15.8","567.8","0.8","78","3","1","0.6","12","12","3","1"
"12.5","566.1","0.6","90","3","0.95","0.6","15","10.9","24","1"
"11.5","565.8","0.9","94","1","0.6","0.25","15","10.5","24","1"
"19.5","564","-1.5","46","7","0.4","0.25","20","7.6","3","0"
"12.2","565.3","-0.6","93","0","1","0.5","14","11.1","3","1"
"12.1","565.9","-0.5","92","2","1","0.4","14","10.8","3","0"
"12.5","565.9","1.2","90","2","0.75","0.4","15","10.9","24","0"
"11.6","565.5","0.6","89","4","0.75","0.25","15","9.9","24","1"
"12.5","565.8","1.2","92","2","1","0.25","12","11.3","24","1"
"14.8","564.9","0.7","73","1","0.95","0.6","15","10","6","1"
"10.9","565.3","0.5","99","2","1","0.25","2","10.7","24","1"
"16.4","564","-1.3","74","7","0.95","0.95","15","11.7","3","1"
"12.5","565.1","0.7","94","2","0.95","0.4","10","11.5","24","1"
"13","564.2","1","91","1","1","0.5","12","11.6","6","0"
"12.1","564.7","0.9","96","1","1","0.4","12","11.5","24","1"
"11","564.6","0.6","95","2","1","0.4","15","10.2","24","1"
"12.7","565.1","0.9","90","3","1","0.75","6","11.1","24","1"
"12.7","564.2","-0.7","93","1","0.95","0.95","15","11.6","3","1"
"7.5","564.9","0.9","94","1","0.4","0.1","12","6.6","24","0"
"11.8","564.9","0.7","96","1","1","0.5","6","11.2","24","1"
"11.2","564.8","0.6","96","1","1","1","9","10.6","3","1"
"13.8","565.9","1","91","2","1","0.5","6","12.4","3","1"
"10.6","565.7","0.9","92","2","0.6","0.4","20","9.4","24","1"
"11.4","565.3","0.9","91","1","0.5","0.4","20","10","24","0"
"12.1","565.1","0.9","95","1","1","0.5","7","11.3","24","1"
"11.9","564.4","1","94","3","0.95","0.6","3","11","24","1"
"14","563.1","0.8","88","4","0.6","0.4","15","12","3","0"
"12.6","564","0.9","93","2","1","0.4","10","11.5","24","1"
"10.9","564.6","1","95","3","1","0.6","8","10.1","24","1"
"10.7","564.9","0.9","88","3","0.25","0.25","18","8.7","24","1"
"15.3","566.1","1.5","74","4","1","0.25","10","10.7","3","0"
"13.3","564.6","0.3","87","1","1","0.4","12","11.2","24","1"
"12.7","565.3","0.7","85","1","0.95","0.25","12","10.2","24","1"
"11.8","566.3","1.5","93","1","0.95","0.5","15","10.7","3","0"
"12.5","564.8","1","91","1","0.6","0.25","15","11.1","6","0"
"13.9","564.6","-1.3","83","3","0.95","0.5","9","11.1","3","1"
"13.9","565.9","-1.3","90","4","1","0.6","9","12.3","6","1"
"11.5","566.4","1.1","96","2","1","0.6","9","10.9","24","1"
"11.4","565","1.2","98","1","1","0.95","3","11.1","24","1"
"11.5","565.3","0.5","98","1","0.95","0.4","4","11.2","24","1"
"12.8","564.6","0.6","91","1","1","0.5","15","11.4","6","1"
"14","564","-1.5","86","3","1","0.4","12","11.7","3","1"
"13.9","565.5","-0.8","85","1","1","0.6","7","11.4","6","1"
"12.2","564.9","0.7","94","4","1","0.4","10","11.3","24","0"
"11.8","564.9","-0.6","97","1","0.95","0.25","18","11.3","6","0"
"11.6","564.9","0.9","98","2","1","0.25","7","11.3","24","1"
"12.5","565.2","0.6","88","2","0.4","0.25","15","10.6","24","1"
"12.1","564.9","0.9","96","2","1","0.75","7","11.5","24","1"
"12.6","564","-0.7","89","3","0.95","0.4","15","10.8","3","0"
"13.3","564.6","0.6","87","1","1","0.4","12","11.2","24","1"
"12.5","564","-0.8","93","2","1","0.25","9","11.4","3","1"
"9.9","565.9","0.8","94","3","0.4","0.25","15","9","24","1"
"10.6","565.9","1.1","94","2","1","0.4","8","9.6","24","1"
"12.7","564.2","1.1","93","1","1","0.6","10","11.6","24","1"
"12.7","563.8","-0.6","92","2","1","0.4","18","11.4","6","1"
"13.2","564.4","1.3","89","2","1","0.5","14","11.4","3","1"
"8.4","564","0.6","98","2","0.25","0.1","2","8.1","24","1"
"13.4","563.7","1","68","3","0.5","0.5","15","7.6","6","0"
"6.9","564.8","1","97","3","0.25","0.1","20","6.5","24","0"
"9.6","564.6","1.3","90","2","0.75","0.25","15","8","24","1"
"10.5","564.9","0.3","95","3","0.95","0.25","12","9.7","24","1"
"9.6","565.3","-0.4","98","2","0.75","0.25","20","9.3","6","1"
"12","564.4","1.1","93","1","1","0.4","9","10.9","6","1"
"7.5","565.3","1","98","1","0.75","0.25","4","7.2","24","1"
"12.1","564.2","0.6","88","3","1","0.4","12","10.2","6","1"
"10.4","564.9","1.3","96","2","0.95","0.6","12","9.8","24","1"
"9","565.2","0.8","98","2","0.95","0.25","1","8.7","24","1"
"10.6","564.4","-0.8","97","1","0.95","0.25","15","10.1","3","0"
"11.5","565.9","0.7","96","2","0.5","0.4","20","10.8","24","1"
"10.3","565.2","-0.7","97","1","0.6","0.6","10","9.8","3","1"
"10.9","565.9","0.2","96","2","1","0.95","5","10.3","6","1"
"13.4","565.7","1.1","88","4","1","0.4","10","11.5","3","0"
